year,q_no,part,topic_code,topic_name,form,answer_type,confidence,has_shared_stem,shared_stem,question_text
2018,1,Probability,P1,"Classical & Axiomatic Probability, Consequences",PLAIN,EXPR,A,N,,"Let $A_1,A_2,A_3,A_4$ be independent events with $P(A_1)=\dfrac12,\ P(A_2)=\dfrac14,\ P(A_3)=\dfrac18,\ P(A_4)=\dfrac{1}{16}$. What is $P(A_1\cup A_2\cup A_3\cup A_4)$? (a) $\dfrac{15}{16}$ (b) $\dfrac{1023}{1024}$ (c) $\dfrac{709}{1024}$ (d) $\dfrac{315}{1024}$"
2018,2,Probability,P1,"Classical & Axiomatic Probability, Consequences",PLAIN,EXPR,A,N,,A lot of 15 mobiles has 4 defectives. Mobiles are examined one by one without replacement. The probability that the 9th mobile examined is the last defective is (a) $\dfrac{56}{195}$ (b) $\dfrac{8}{195}$ (c) $\dfrac17$ (d) $\dfrac{24}{65}$
2018,3,Probability,P3,Random Variables & Distribution Functions,PLAIN,EXPR,A,N,,"$X$ has p.d.f. $$f(x)=\begin{cases}\dfrac{x}{2}, & 0<x\le1\\[4pt] \dfrac12, & 1<x\le2\\[4pt] \dfrac{3-x}{3}, & 2<x\le3\end{cases}$$ What is $P(1.5<X\le2.5\mid X>1)$? (a) $\dfrac38$ (b) $\dfrac12$ (c) $\dfrac58$ (d) $\dfrac14$"
2018,4,Probability,P2,"Conditional Probability, Law of Total Probability, Bayes' Theorem",PLAIN,EXPR,A,N,,"Urn 1 has 7 white, 10 black balls; urn 2 has 5 white, 12 black; urn 3 has 17 white only. An urn is chosen at random and a ball drawn is white. What are the probabilities it came from urn 1, 2, 3 respectively? (a) $\dfrac{7}{29},\dfrac{6}{29},\dfrac{18}{29}$ (b) $\dfrac{7}{29},\dfrac{5}{29},\dfrac{20}{29}$ (c) $\dfrac{7}{29},\dfrac{5}{29},\dfrac{17}{29}$ (d) None of the above"
2018,5,Probability,P6,"Random Vectors: Joint, Marginal & Conditional Distributions",MSA,SEL,A,N,,"$X,Y$ have joint p.d.f. $$f(x,y)=\begin{cases}\dfrac{1+xy}{4}, & |x|<1,\ |y|<1\\[4pt] 0, & \text{otherwise}\end{cases}$$ 1. $X$ and $Y$ are independent. 2. $X^2$ and $Y^2$ are independent. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2"
2018,6,Probability,P8,Mathematical Expectation & Conditional Expectation,PLAIN,SEL,A,N,,"$X$ has p.d.f. $f(x)=2/x^3,\ x\ge1$ (and $0$ for $x<1$). Which is correct? (a) Both mean and variance exist. (b) Mean exists but variance does not. (c) Neither mean nor variance exists. (d) Variance exists but mean does not."
2018,7,Probability,P4,Standard Discrete Distributions,PLAIN,SEL,A,N,,"$X\sim\text{Binomial}(n=13,p=0.3)$. 1. The mode of $X$ is $3$. 2. The distribution is negatively skewed. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2"
2018,8,Probability,P7,Distributions of Functions of Random Variables,PLAIN,NAME,C,N,,"If $X\sim N(4,100)$, the distribution of $Y=\dfrac12\left(\dfrac{X-4}{10}\right)^2$ is (a) Exponential with mean $4$ (b) Chi-square with 1 degree of freedom (c) Gamma distribution with parameter $1/2$ (d) Normal with mean 4 and variance 10"
2018,9,Probability,P7,Distributions of Functions of Random Variables,PLAIN,NAME,C,N,,"$X\sim G(\alpha_1,\beta)$, $Y\sim G(\alpha_2,\beta)$ independent. $\dfrac{X}{X+Y}$ is distributed as (a) $G(\alpha_1+\alpha_2,\beta)$ (b) $\beta_1(\alpha_1,\alpha_2)$ (c) $U(0,1)$ (d) $G(\alpha_1,\alpha_2)$"
2018,10,Probability,P5,Standard Continuous Distributions,PLAIN,SEL,C,N,,"For $f(x)=\theta e^{-\theta x},\ x>0$: 1. Variance $>$ mean if $0<\theta<1$. 2. Variance $=$ mean if $\theta=1$. 3. Variance $<$ mean if $\theta>1$. (a) 1 and 3 only (b) 2 and 3 only (c) 1 and 2 only (d) 1, 2 and 3"
2018,11,Probability,P8,Mathematical Expectation & Conditional Expectation,PLAIN,EXPR,A,N,,"A rod of length $2l$ is broken at random into two pieces. The mean and variance of the length of the shorter piece are (a) $\dfrac l2,\ \dfrac{l^2}{3}$ (b) $l,\ \dfrac{l^2}{3}$ (c) $\dfrac l2,\ \dfrac{l^2}{12}$ (d) $l,\ \dfrac{l^2}{12}$"
2018,12,Probability,P6,"Random Vectors: Joint, Marginal & Conditional Distributions",PLAIN,EXPR,A,N,,"The joint distribution function of $X,Y$ is $F(x,y)=(1-e^{-x})(1-e^{-y})$ for $x,y>0$ (else $0$). What is $P(|X-Y|\le10)$? (a) $1-e^{-10}$ (b) $\dfrac12(1-e^{-10})$ (c) $1-\dfrac{e^{-10}}{2}$ (d) None of the above"
2018,13,Probability,P6,"Random Vectors: Joint, Marginal & Conditional Distributions",PLAIN,EXPR,A,N,,"$X,Y$ have joint p.d.f. $f(x,y)=2e^{-x}e^{-2y},\ 0<x,y<\infty$. What is $P(X<Y)$? (a) $\dfrac13$ (b) $\dfrac12$ (c) $\dfrac14$ (d) $\dfrac16$"
2018,14,Probability,P8,Mathematical Expectation & Conditional Expectation,PLAIN,EXPR,C,N,,"$X,Y$ have joint p.d.f. $f(x,y)=\dfrac13(x+y),\ 0<x<1,\ 0<y<2$. What is $E[3X(X+2Y)]$? (a) $\dfrac92$ (b) $\dfrac{29}{6}$ (c) $\dfrac{31}{6}$ (d) $\dfrac{11}{2}$"
2018,15,Probability,P6,"Random Vectors: Joint, Marginal & Conditional Distributions",MSA,SEL,A,N,,"Joint pmf of $X,Y$: | $Y\backslash X$ | $-1$ | $0$ | $1$ | |---|---|---|---| | $-1$ | $1/6$ | $1/3$ | $1/6$ | | $0$ | $0$ | $0$ | $0$ | | $1$ | $1/6$ | $0$ | $1/6$ | 1. $X,Y$ are independent. 2. $\text{Cov}(X,Y)=0$. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2"
2018,16,Probability,P8,Mathematical Expectation & Conditional Expectation,MSA,SEL,C,N,,"$X$ has p.d.f. $f(x)=1+x$ for $-1<x\le0$; $1-x$ for $0<x<1$ (else $0$). $U=X,\ V=X^2$. 1. $\text{Cov}(U,V)=0$. 2. $U,V$ are independent. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2"
2018,17,Probability,P9,"Characteristic Function, MGF & PGF; Inversion, Uniqueness, Continuity",PLAIN,NUM,A,N,,"$X,Y$ independent normal, means $10,5$, variances $9,4$. $Z=4X-5Y$. The MGF $M_Z(t)$ is (a) $\exp[15t+22t^2]$ (b) $\exp[15t-22t^2]$ (c) $\exp[15t+122t^2]$ (d) $\exp[15t-122t^2]$"
2018,18,Probability,P9,"Characteristic Function, MGF & PGF; Inversion, Uniqueness, Continuity",PLAIN,EXPR,A,N,,A fair die is thrown repeatedly until $3$ or $4$ appears. $X$ = number of throws. The p.g.f. of $X$ for $|s|<3/2$ is (a) $P(s)=\dfrac{2s}{3-s}$ (b) $P(s)=\dfrac{s}{3-2s}$ (c) $P(s)=\dfrac{3-s}{2s}$ (d) $P(s)=\dfrac{3-2s}{s}$
2018,19,Probability,P12,Tchebycheff's & Kolmogorov's Inequalities,PLAIN,NUM,B,N,,"Weekly automobile sales have $E=16$, $\text{Var}=9$. The probability that next week's sales are between 10 and 22 is at least (a) $0.50$ (b) $0.56$ (c) $0.75$ (d) $0.95$"
2018,20,Probability,P7,Distributions of Functions of Random Variables,PLAIN,NUM,C,N,,"$X$ has p.d.f. $f(x)=\dfrac{kx^3}{(1+2x)^6},\ x>0$. $Y=\dfrac{2X}{1+2X}$ is a Beta distribution of the first kind with parameters: (a) $m=4,n=2$ (b) $m=5,n=1$ (c) $m=3,n=3$ (d) $m=5,n=2$"
